entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
6.183,347849,134959,1632,48,4,7,2,644,0.37978835644201936,2.7380060422960724,16,0.044246210280897744,1
5.278,38230,256,2027,0,3,2,3,4,0.24130264190426368,6.473533619456366,57,0.2315459063562647,1
4.632,31,31,1,1,0,0,0,1,0.41935483870967744,9.0,0,0.03225806451612903,1
5.935,121604,39949,1955,5,7,5,12,353,0.19601328903654486,6.0256,34,0.07953685734021908,1
5.141,663,122,16,1,0,0,0,0,0.2081447963800905,12.380952380952381,10,0.09954751131221719,1
5.949,222039,35948,4535,8,9,4,8,23,0.21471453213174263,6.242722602739726,205,0.08644877701665023,1
5.31,315,59,19,1,0,0,0,1,0.2920634920634921,5.7,0,0.18095238095238095,1
4.522,28,28,1,1,0,0,0,1,0.42857142857142855,9.0,0,0.03571428571428571,1
5.023,138,85,7,0,0,0,0,1,0.36231884057971014,5.333333333333333,0,0.050724637681159424,1
3.755,327,233,4,0,0,0,0,0,0.8654434250764526,0.0,0,0.06116207951070336,1
5.591,189911,11591,3310,6,44,12,17,56,0.23206659961771567,5.799948572897917,408,0.14216132820110472,1
5.229,1466,112,18,0,0,0,0,0,0.6132332878581174,2.1130434782608694,0,0.01296043656207367,1
5.738,99940,1313,2130,5,7,5,9,405,0.26781068641184713,5.890096113664856,89,0.13479087452471483,1
5.228,1172,72,41,1,0,0,0,23,0.4035836177474403,5.213483146067416,0,0.0537542662116041,1
5.676,264001,93,3224,1,0,0,0,0,0.00021212040863481579,9.0,0,0.012302983700819316,1
6.006,51543,51454,4,1,0,2,0,0,0.03323438682265293,7.0,0,0.00032982170226800926,1
5.217,1479,96,20,0,0,0,0,0,0.4090601757944557,2.7593984962406015,0,0.014198782961460446,1
5.533,2026,104,61,0,2,0,0,0,0.2048371174728529,5.571428571428571,0,0.15745310957551825,1
5.085,10828,548,258,1,4,0,0,29,0.34706316956039895,6.426229508196721,11,0.268378278537126,1
5.912,1718,91,20,0,0,0,0,0,0.3859138533178114,7.762711864406779,11,0.13271245634458673,1
5.678,249657,90,3088,1,0,0,0,0,0.00020828576807379725,9.0,0,0.012461096624568908,1
5.793,90797,16271,1768,6,7,6,9,324,0.28807119177946405,4.987359550561798,60,0.16235117900371157,1
5.55,174,113,6,0,0,2,1,0,0.23563218390804597,0.0,0,0.034482758620689655,1
5.438,142735,2290,2831,3,44,10,13,77,0.28316810873296666,5.728951048951049,358,0.131600518443269,1
4.646,37882,10585,800,0,2,0,4,23,0.2049522200517396,6.998035363457761,41,0.3659785650176865,1
5.609,264436,2922,7923,5,46,11,27,265,0.26639716226232435,5.707382791449613,460,0.140669197839931,1
4.318,107,54,5,0,0,0,0,1,0.5887850467289719,4.0,0,0.07476635514018691,1
5.325,1325,87,20,0,0,0,0,0,0.45660377358490567,2.3688524590163933,0,0.015849056603773583,1
5.958,133535,39947,2211,6,9,9,14,406,0.2053618901411615,6.185304990757856,44,0.06968210581495488,1
5.315,4469,187,119,1,1,1,1,5,0.2349518908033117,4.735294117647059,0,0.19870217050794362,1
5.511,65950,785,1517,6,7,2,8,320,0.2675815011372252,4.861918604651163,44,0.1822592873388931,1
4.558,35,26,3,1,0,0,0,0,0.4,6.0,0,0.17142857142857143,1
6.004,32786,32775,4,1,0,2,0,0,0.03272738363935826,0.0,0,0.0001220032940889404,1
4.77,275394,275384,4,2,14,2,21,153,0.31475631277369875,8.599605522682445,290,0.010465006499778499,1
4.057,361,361,1,0,0,0,0,0,0.5429362880886427,3.8947368421052633,0,0.0,1
5.298,5436,178,205,1,0,1,0,6,0.18543046357615894,6.102564102564102,0,0.1949963208241354,1
5.959,133680,39947,2210,6,9,9,14,406,0.20518402154398563,6.185304990757856,44,0.06974865350089766,1
5.713,19790,18293,59,1,0,1,0,0,0.015209701869631127,6.7272727272727275,0,0.03506821627084386,1
5.922,287,168,8,2,0,2,1,2,0.24390243902439024,6.666666666666667,0,0.041811846689895474,1
5.785,3304,3304,1,2,0,0,0,0,0.09776029055690072,9.96,0,0.0018159806295399517,1
